comment_score,percent_positive,percent_negative
1222,0.0,1.0
1221,0.0,1.0
1220,0.0,0.5
1219,0.0,1.0
1217,0.0,1.0
1216,1.0,1.0
1215,0.0,1.0
1214,0.0,1.0
1213,0.0,1.0
1212,0.5,1.0
1211,0.5,1.0
1210,0.0,1.0
1208,0.0,1.0
1207,0.0,1.0
1206,0.25,1.0
1205,1.0,1.0
1204,0.0,1.0
1203,0.0,1.0
1202,0.0,1.0
1201,0.0,1.0
1200,0.0,1.0
1199,0.0,1.0
1198,0.0,1.0
1197,0.0,1.0
1196,0.75,1.0
1195,0.0,1.0
1194,1.0,1.0
1193,0.0,1.0
1192,0.0,1.0
1191,0.6666666666666666,1.0
1190,0.6,1.0
1189,0.0,1.0
1188,0.0,1.0
1187,0.6666666666666666,1.0
